Feature,Importance
sensor_11,0.5711564813851627
sensor_9,0.13737011275856276
sensor_4,0.07215409911072201
sensor_12,0.04452612379895675
sensor_7,0.02481027825651597
sensor_14,0.024635305665333656
sensor_15,0.020433979736396882
sensor_21,0.015613940227496651
sensor_3,0.01540533359587456
sensor_2,0.014709080459441195
sensor_13,0.013568008083059701
sensor_20,0.013059216253295642
setting_1,0.010834449727288446
sensor_8,0.010489829228237756
setting_2,0.006383224558095813
sensor_17,0.004812090827329245
sensor_6,3.844632823025686e-05
