Model,MAE,RMSE,R2,PHM08
Random Forest,12.525043607128902,17.418048310641698,0.6011262090789529,190859.91461594767
XGBoost,12.233224868774414,17.414269289934154,0.6012992262840271,231988.12895002536
LSTM,10.797566413879395,15.969296559873497,0.7114050388336182,72247.62640042246
